monx mony
0 24.629862051578105
1 22.827639175041426
2 22.679037266285526
3 18.56434430160889
4 18.663514262085204
5 20.058509437055765
6 20.151336303755627
7 16.13299776606476
8 15.578852315455185
9 14.987215098916032
10 16.27020823750823
11 15.203864044383844
12 13.912405869998944
13 14.579913189717347
14 10.910376979815801
15 13.358526559389261
16 8.93455798457606
17 9.71123068331556
18 14.214116427796846
19 8.404097138013414
20 10.320631662641244
21 9.454923569741398
22 8.02798640875573
23 9.077538570940774
24 8.571206330006476
25 5.24726662645123
26 3.741688054122209
27 6.302620470374526
28 8.153183034417072
29 5.534127144355066
30 1.9737406501996928
31 2.448480877343923
32 2.29253108857182
33 2.173238057215999
34 4.437660104335808
35 -0.6050396301087648
36 3.806485161402369
37 -0.5107274362200576
38 0.20863045855284934
39 -0.18519519198486378
40 1.6309115597730277
41 3.711050275631813
42 -0.9667074061987223
43 2.5443561526499514
44 -0.5543416623168239
45 1.627967040381481
46 0.5217841915137974
47 0.39850538318407525
48 0.8197133434579202
49 1.8830438626796027
50 -2.466639725258997
51 3.162977051010341
52 -0.18332433551462038
53 -0.893949182317598
54 0.7575211676485573
55 0.30130018611476045
56 -1.3124966358166947
57 2.880904393568644
58 -1.4902903078620513
59 2.3205406427165762
60 0.49781522908782416
61 -0.6555893449348384
62 -0.5620178908823714
63 3.9797973961118105
64 1.5196330520968333
65 1.1491969509710778
66 -2.737714851210649
67 3.1562231793004822
68 1.3168401100053155
69 4.975355958554235
70 4.481166273492812
71 2.933025192023125
72 6.276638253337647
73 6.630535433920267
74 4.9488445221976285
75 8.08766442538032
76 6.981715596673569
77 7.698551157229322
78 8.740576118795094
79 6.237504430310789
80 11.82586312803854
81 11.907990235188139
82 7.0409141445337
83 10.668570649421104
84 9.080949231608018
85 14.186609094175054
86 12.765584600901242
87 15.314037660730406
88 12.942055461055482
89 14.047518591759346
90 14.257303212791474
91 16.526919724438482
92 22.594607986374257
93 20.386262356450423
94 21.646961958519512
95 21.500901645437796
96 19.931118446036756
97 18.33842438201438
98 26.665514422632864
99 29.290801830051414
