t                   x  y
0.0                 0 5.99859158558e-39
0.0026              1 -6.37529144135e-39
0.0052              2 -6.27297143009e-39
0.0078              3 6.4275374533e-39
0.0104              4 7.5906908488e-39
0.013               5 -6.96219727717e-39
0.0156              6 -1.0136707226e-38
0.0182              7 8.67805922076e-39
0.0208              8 1.05177763304e-38
0.0233999999999999979 -6.1398284578e-39
0.026               10 8.73805721581e-39
0.0286              11 -6.21164892773e-38
0.0312              12 -2.20556054572e-38
0.0338              13 2.87734017087e-37
0.0364              14 -7.68576558649e-38
0.039               15 -8.02617842617e-37
0.0416              16 6.22892458361e-37
0.04419999999999999617 1.60687293994e-36
0.04679999999999999418 -2.26464468117e-36
0.0494              19 -2.28807636452e-36
0.052               20 6.05134289454e-36
0.05459999999999999621 1.55505404377e-36
0.0572              22 -1.36229348973e-35
0.0598              23 3.77694858401e-36
0.0624              24 2.75572610031e-35
0.065               25 -2.14407414525e-35
0.0676              26 -5.09487491061e-35
0.0702              27 6.96461232202e-35
0.0728              28 8.28505293232e-35
0.0754              29 -1.8625581715e-34
0.078               30 -1.04060706283e-34
0.08059999999999999 31 4.35921978098e-34
0.0832              32 5.09582999977e-35
0.0858              33 -9.05474482231e-34
0.08839999999999999 34 2.14715430779e-34
0.091               35 1.68154705657e-33
0.09359999999999999 36 -9.22523925764e-34
0.0962              37 -2.81423890302e-33
0.0988              38 2.37682533279e-33
0.10139999999999999 39 4.26649201114e-33
0.104               40 -4.87223306633e-33
0.1066              41 -5.82070125444e-33
0.10919999999999999 42 8.43100400987e-33
0.1118              43 6.91087528654e-33
0.1144              44 -1.21586523493e-32
0.11699999999999999 45 -6.37410930113e-33
0.1196              46 1.30854532378e-32
0.12219999999999999 47 1.93466533678e-33
0.1248              48 -4.69031649933e-33
0.12739999999999999 49 1.14645582e-32
0.13                50 -2.42034551321e-32
0.1326              51 -4.64595745676e-32
0.1352              52 8.87762015803e-32
0.1378              53 1.3384484307e-31
0.1404              54 -2.02869024994e-31
0.143               55 -3.40663670142e-31
0.1456              56 3.62595761621e-31
0.1482              57 7.94042108161e-31
0.1508              58 -5.07150298623e-31
0.15339999999999998 59 -1.701730634e-30
0.156               60 4.40152621939e-31
0.1586              61 3.3468095873e-30
0.16119999999999998 62 3.00270016706e-31
0.1638              63 -6.00829656412e-30
0.1664              64 -2.60460583961e-30
0.16899999999999998 65 9.72212896582e-30
0.1716              66 7.89708314397e-30
0.1742              67 -1.37929445198e-29
0.17679999999999998 68 -1.79493541181e-29
0.1794              69 1.61142799188e-29
0.182               70 3.39934940757e-29
0.1846              71 -1.2821144344e-29
0.18719999999999998 72 -5.47864356084e-29
0.1898              73 -3.17291645103e-31
0.1924              74 7.42418910171e-29
0.19499999999999998 75 2.24583533409e-29
0.1976              76 -8.20193618745e-29
0.2002              77 -3.67887406488e-29
0.20279999999999998 78 7.52571088761e-29
0.2054              79 -9.58381860779e-31
0.208               80 -9.34615885265e-29
0.21059999999999998 81 1.54557731745e-28
0.2132              82 2.81634706151e-28
0.2158              83 -4.38663670829e-28
0.21839999999999998 84 -9.52998669917e-28
0.221               85 6.41123589559e-28
0.2236              86 2.55478362686e-27
0.22619999999999998 87 -3.66634468688e-29
0.2288              88 -5.37231224639e-27
0.2314              89 -2.86396202011e-27
0.23399999999999999 90 8.83989518522e-27
0.23659999999999998 91 1.01917100354e-26
0.2392              92 -1.0573521795e-26
0.2418              93 -2.38419280278e-26
0.24439999999999998 94 5.62437179454e-27
0.247               95 4.38044723167e-26
0.2496              96 1.34979986525e-26
0.2522              97 -6.61664972863e-26
0.25479999999999997 98 -5.62409507692e-26
0.25739999999999996 99 8.06602386979e-26
0.26                100 1.33735392047e-25
0.2626              101 -6.46783604924e-26
0.2652              102 -2.56393845782e-25
0.2678              103 -3.16391124151e-26
0.2704              104 4.15320524761e-25
0.27299999999999996 105 3.04274941715e-25
0.2756              106 -5.20818936528e-25
0.2782              107 -8.74913008206e-25
0.2808              108 2.92334250016e-25
0.2834              109 1.73513427091e-24
0.286               110 7.99937991445e-25
0.28859999999999997 111 -2.38195603698e-24
0.2912              112 -3.26416679742e-24
0.2938              113 1.42148238614e-24
0.2964              114 6.67274878305e-24
0.299               115 3.18115338665e-24
0.3016              116 -8.3093038398e-24
0.30419999999999997 117 -1.22334529698e-23
0.30679999999999996 118 2.82627247552e-24
0.3094              119 2.17878585748e-23
0.312               120 1.45797524938e-23
0.3146              121 -2.0708103633e-23
0.3172              122 -4.04290582837e-23
0.3198              123 -4.99205301434e-24
0.32239999999999996 124 5.53631039873e-23
0.325               125 5.72918121026e-23
0.3276              126 -2.83193870563e-23
0.3302              127 -1.08069438042e-22
0.3328              128 -5.79330865988e-23
0.3354              129 9.96422957377e-23
0.33799999999999997 130 1.70264645448e-22
0.34059999999999996 131 1.5495891373e-23
0.3432              132 -2.1595149322e-22
0.3458              133 -2.09373844774e-22
0.3484              134 9.94154319631e-23
0.351               135 3.50261714009e-22
0.35359999999999997 136 1.72346670258e-22
0.35619999999999996 137 -2.76500467824e-22
0.3588              138 -4.30727444851e-22
0.3614              139 -4.80361638996e-23
0.364               140 4.30727242902e-22
0.3666              141 4.279336908e-22
0.3692              142 -5.96820227801e-23
0.37179999999999996 143 -5.10148294714e-22
0.37439999999999996 144 -4.83586628594e-22
0.377               145 3.35103316264e-23
0.3796              146 6.88498007135e-22
0.3822              147 8.60615996083e-22
0.3848              148 1.4144591575e-23
0.38739999999999997 149 -1.40463790234e-21
0.38999999999999996 150 -1.68348783775e-21
0.3926              151 3.76012153439e-22
0.3952              152 3.10361174861e-21
0.3978              153 2.78065850587e-21
0.4004              154 -1.80420551814e-21
0.40299999999999997 155 -6.17626682825e-21
0.40559999999999996 156 -3.89888350553e-21
0.4082              157 4.90191108408e-21
0.4108              158 1.07556130164e-20
0.4134              159 4.334449028e-21
0.416               160 -1.09388593714e-20
0.41859999999999997 161 -1.88879810475e-20
0.42119999999999996 162 -6.34990043988e-21
0.42379999999999995 163 1.89687345548e-20
0.4264              164 2.84810789546e-20
0.429               165 -6.35117468374e-23
0.4316              166 -4.92988788336e-20
0.4342              167 -6.78256049045e-20
0.43679999999999997 168 -2.55187933159e-20
0.43939999999999996 169 3.69727988008e-20
0.442               170 2.97719524617e-20
0.4446              171 -1.03434334408e-19
0.4472              172 -3.27098802163e-19
0.4498              173 -5.46609375678e-19
0.45239999999999997 174 -7.30261307746e-19
0.45499999999999996 175 -1.0446844459e-18
0.4576              176 -1.87156727343e-18
0.4602              177 -3.6784390968e-18
0.4628              178 -6.9095744871e-18
0.4654              179 -1.2137683522e-17
0.46799999999999997 180 -2.05013472273e-17
0.47059999999999996 181 -3.42130901077e-17
0.47319999999999995 182 -5.72535774131e-17
0.4758              183 -9.65424992223e-17
0.4784              184 -1.63978921439e-16
0.481               185 -2.80079914339e-16
0.4836              186 -4.80716820313e-16
0.48619999999999997 187 -8.29900858863e-16
0.48879999999999996 188 -1.44373123618e-15
0.4914              189 -2.53294572613e-15
0.494               190 -4.47421437465e-15
0.4966              191 -7.92975643374e-15
0.4992              192 -1.40498337519e-14
0.5018              193 -2.48071589583e-14
0.5044              194 -4.353741895e-14
0.507               195 -7.57924539102e-14
0.5095999999999999  196 -1.30666040054e-13
0.5122              197 -2.22808371145e-13
0.5147999999999999  198 -3.75425168384e-13
0.5174              199 -6.24668773739e-13
0.52                200 -1.02588163658e-12
0.5226              201 -1.66238637439e-12
0.5252              202 -2.6574306991e-12
0.5277999999999999  203 -4.19015083047e-12
0.5304              204 -6.51616954839e-12
0.533               205 -9.99387465145e-12
0.5356              206 -1.51157836248e-11
0.5382              207 -2.25457152947e-11
0.5408              208 -3.31594612879e-11
0.5434              209 -4.80884498888e-11
0.5459999999999999  210 -6.87581241943e-11
0.5486              211 -9.69189589695e-11
0.5512              212 -1.34661962137e-10
0.5538              213 -1.84399148728e-10
0.5564              214 -2.48807863201e-10
0.5589999999999999  215 -3.30715010932e-10
0.5616              216 -4.32920810312e-10
0.5641999999999999  217 -5.57924817457e-10
0.5668              218 -7.07577774151e-10
0.5694              219 -8.82661943535e-10
0.572               220 -1.08236930529e-09
0.5746              221 -1.30377042495e-09
0.5771999999999999  222 -1.54130352925e-09
0.5798              223 -1.78628689618e-09
0.5824              224 -2.02663330562e-09
0.585               225 -2.24677165761e-09
0.5876              226 -2.42791675653e-09
0.5902              227 -2.54868437466e-09
0.5928              228 -2.58619792248e-09
0.5953999999999999  229 -2.51761478332e-09
0.598               230 -2.32204810935e-09
0.6006              231 -1.98279681562e-09
